,date,국고채(3년),"회사채(3년, AA-)",spread_pp,spread_z
141,2015-10-01,1.627,1.962,0.33499999999999996,-0.7142476114686804
142,2015-11-01,1.752,2.118,0.3659999999999999,-0.6544442793426312
143,2015-12-01,1.719,2.143,0.4239999999999997,-0.5425541740745392
144,2016-01-01,1.628,2.091,0.4630000000000003,-0.46731772398047594
145,2016-02-01,1.474,1.95,0.476,-0.44223890728245585
146,2016-03-01,1.498,1.979,0.4810000000000001,-0.43259320855244765
147,2016-04-01,1.468,1.94,0.472,-0.4499554662664622
148,2016-05-01,1.455,1.91,0.45499999999999985,-0.48275084194848955
149,2016-06-01,1.334,1.789,0.45499999999999985,-0.48275084194848955
150,2016-07-01,1.218,1.65,0.43199999999999994,-0.5271210561065259
151,2016-08-01,1.238,1.645,0.40700000000000003,-0.5753495497565656
152,2016-09-01,1.312,1.704,0.3919999999999999,-0.6042866459465898
153,2016-10-01,1.361,1.781,0.41999999999999993,-0.5502707330585451
154,2016-11-01,1.609,2.021,0.4119999999999999,-0.5657038510265578
155,2016-12-01,1.692,2.162,0.47,-0.4538137457584654
156,2017-01-01,1.643,2.104,0.4610000000000001,-0.4711760034724795
157,2017-02-01,1.665,2.13,0.46499999999999986,-0.4634594444884736
158,2017-03-01,1.709,2.208,0.4990000000000001,-0.39786869312441897
159,2017-04-01,1.678,2.195,0.5169999999999999,-0.3631441776963907
160,2017-05-01,1.69,2.216,0.5260000000000002,-0.3457819199823757
161,2017-06-01,1.673,2.208,0.5350000000000001,-0.32841966226836156
162,2017-07-01,1.74,2.278,0.538,-0.322632243030357
163,2017-08-01,1.78,2.32,0.5399999999999998,-0.31877396353835424
164,2017-09-01,1.785,2.333,0.5480000000000003,-0.30334084557034063
165,2017-10-01,2.026,2.574,0.548,-0.3033408455703411
166,2017-11-01,2.15,2.709,0.5590000000000002,-0.2821203083643233
167,2017-12-01,2.1,2.649,0.5489999999999999,-0.3014117058243397
168,2018-01-01,2.19,2.722,0.532,-0.3342070815063666
169,2018-02-01,2.277,2.815,0.5379999999999998,-0.3226322430303574
170,2018-03-01,2.271,2.831,0.56,-0.28019116861832194
171,2018-04-01,2.192,2.794,0.6019999999999999,-0.1991672992862554
172,2018-05-01,2.25,2.86,0.6099999999999999,-0.18373418131824265
173,2018-06-01,2.175,2.805,0.6300000000000003,-0.1451513863982099
174,2018-07-01,2.097,2.75,0.653,-0.10078117224017388
175,2018-08-01,2.019,2.656,0.637,-0.13164740817619938
176,2018-09-01,1.953,2.403,0.44999999999999996,-0.4923965406784973
177,2018-10-01,2.01,2.452,0.44200000000000017,-0.5078296586465096
