,재별 및 상품군별,date,value,retail_log_yoy,retail_log_yoy_z
170,총지수,2010-02-01,72.1,0.11138882048917687,1.2927030459665239
171,총지수,2010-03-01,76.0,0.0836676910465668,0.8547645858907671
172,총지수,2010-04-01,74.6,0.07513964458609124,0.7200384903293617
173,총지수,2010-05-01,77.7,0.04071475016388604,0.1761939372875297
174,총지수,2010-06-01,76.2,0.0415330959368676,0.18912216549594385
175,총지수,2010-07-01,77.3,0.09066381109418042,0.9652893048240287
176,총지수,2010-08-01,74.3,0.0900749171590629,0.9559859572231586
177,총지수,2010-09-01,79.3,0.05175799383495505,0.35065512356645184
178,총지수,2010-11-01,81.3,0.06478455386116444,0.55644874571208
179,총지수,2010-12-01,84.2,0.03874576657584239,0.14508793050496172
180,총지수,2011-01-01,81.3,0.10358540766115976,1.16942471402438
181,총지수,2011-01-01,83.0,0.033070986843882544,0.05543774860206969
182,총지수,2011-02-01,71.5,-0.008356594590941846,-0.5990352682997183
183,총지수,2011-03-01,80.2,0.05379017458613777,0.3827595192625588
184,총지수,2011-04-01,79.3,0.06109762143108721,0.49820257958186764
185,총지수,2011-05-01,82.9,0.06477980476764778,0.5563737195229145
186,총지수,2011-06-01,80.9,0.059852361371845575,0.47852995859912095
187,총지수,2011-07-01,80.6,0.04180469391920649,0.19341287098077695
188,총지수,2011-08-01,78.0,0.04859787496587842,0.30073155915884453
189,총지수,2011-09-01,81.9,0.03226086221822122,0.042639398095966924
190,총지수,2011-11-01,82.9,0.0194890455874841,-0.15912978736288932
191,총지수,2011-12-01,86.5,0.02694949268955238,-0.0412696286662385
192,총지수,2012-01-01,83.1,0.0218986853076375,-0.12106229409692959
193,총지수,2012-01-01,84.3,0.015541257211211246,-0.22149695626880106
194,총지수,2012-02-01,75.6,0.055758833485525905,0.4138603966130776
195,총지수,2012-03-01,81.2,0.012391732295163216,-0.2712531573846252
196,총지수,2012-04-01,79.6,0.0037759642095345214,-0.4073650793610199
197,총지수,2012-05-01,85.2,0.02736637169402112,-0.03468377329433108
198,총지수,2012-06-01,82.1,0.01472419239393652,-0.23440494793631814
199,총지수,2012-07-01,83.7,0.037740327982846544,0.12920400954030867
200,총지수,2012-08-01,79.2,0.015267472130788384,-0.22582221353367302
201,총지수,2012-09-01,84.4,0.030068410742887686,0.008003045169360295
202,총지수,2012-11-01,86.3,0.040194535948132604,0.1679755920347424
203,총지수,2012-12-01,88.4,0.021727555705764345,-0.12376579990007014
204,총지수,2013-01-01,80.8,-0.028067736334352666,-0.9104319261925841
205,총지수,2013-01-01,86.0,0.01996543124569783,-0.15160384575245786
206,총지수,2013-02-01,76.9,0.017049593326111,-0.19766825921649028
207,총지수,2013-03-01,82.9,0.02071981497361719,-0.139686090063781
208,총지수,2013-04-01,81.4,0.0223611801581578,-0.11375579949507193
209,총지수,2013-05-01,85.6,0.004683849312425714,-0.3930223086341265
210,총지수,2013-06-01,82.5,0.004860276882252101,-0.39023510552234014
211,총지수,2013-07-01,84.4,0.008328424106482046,-0.3354453085250838
212,총지수,2013-08-01,80.7,0.018762276455523086,-0.1706112876076944
213,총지수,2013-09-01,83.2,-0.014320053774748764,-0.6932460087779437
214,총지수,2013-11-01,87.4,0.012665684572107594,-0.26692525874876166
215,총지수,2013-12-01,88.5,0.0011305823702851825,-0.4491568271103911
216,총지수,2014-01-01,85.4,0.055369135267474334,0.40770394336101623
217,총지수,2014-01-01,86.2,0.0023228814161404543,-0.43032088432629045
218,총지수,2014-02-01,76.8,-0.0013012363579720798,-0.4875747043920931
219,총지수,2014-03-01,84.7,0.021480539516759656,-0.12766816216313925
220,총지수,2014-04-01,81.9,0.006123717850528898,-0.3702752625011798
221,총지수,2014-05-01,86.9,0.015072749123650198,-0.2288984480018235
222,총지수,2014-06-01,83.7,0.014440684154794603,-0.238883811682676
223,총지수,2014-07-01,85.4,0.011778699192612763,-0.28093785560235884
224,총지수,2014-08-01,83.2,0.03050877255125961,0.0149598819257352
225,총지수,2014-09-01,84.7,0.017868253830846115,-0.18473505887518482
226,총지수,2014-11-01,88.5,0.01250726935239399,-0.26942790271633754
227,총지수,2014-12-01,93.2,0.05174516967766252,0.35045252750311
228,총지수,2015-01-01,83.4,-0.02369779142982331,-0.8413955275830873
229,총지수,2015-01-01,94.1,0.08768786892168645,0.9182753642486767
230,총지수,2015-02-01,82.3,0.06916646752939748,0.6256742268752388
231,총지수,2015-03-01,87.8,0.03594589898306211,0.10085561650286809
232,총지수,2015-04-01,87.4,0.06499629180246558,0.5597937821452096
233,총지수,2015-05-01,90.9,0.04500196891208663,0.2439234279088217
234,총지수,2015-06-01,84.1,0.004767589483472889,-0.39169938123931014
235,총지수,2015-07-01,86.7,0.01510778299197213,-0.2283449828778585
236,총지수,2015-08-01,84.7,0.017868253830846115,-0.18473505887518482
237,총지수,2015-09-01,90.5,0.06623424904787178,0.5793510332599309
238,총지수,2015-11-01,94.1,0.06135549457745082,0.5022764600796723
239,총지수,2015-12-01,96.5,0.034795286653394264,0.082678240547025
240,총지수,2016-01-01,88.2,0.05595865364804453,0.41701715595243505
241,총지수,2016-01-01,96.0,0.01999014487650186,-0.15121341976207373
242,총지수,2016-02-01,84.7,0.02874449397498502,-0.012912194658947952
243,총지수,2016-03-01,92.5,0.0521471438773089,0.35680291673771064
244,총지수,2016-04-01,90.4,0.033748984736641674,0.06614876070943154
245,총지수,2016-05-01,95.0,0.04411689041710787,0.22994095602074005
246,총지수,2016-06-01,91.6,0.08542470470118246,0.8825218912281074
247,총지수,2016-07-01,90.4,0.041790383611634674,0.1931867967122596
248,총지수,2016-08-01,89.3,0.05288588622444479,0.3684735698605287
249,총지수,2016-09-01,90.5,0.0,-0.4670177697266193
250,총지수,2016-11-01,96.6,0.026220694627138386,-0.05278318195852196
251,총지수,2016-12-01,98.5,0.02051353983310289,-0.14294482515881965
252,총지수,2017-01-01,91.5,0.03673200926873044,0.1132745884162609
253,총지수,2017-01-01,95.6,-0.004175371410480189,-0.5329802958760541
254,총지수,2017-02-01,84.3,-0.004733736650199383,-0.5418013510840929
255,총지수,2017-03-01,93.3,0.008611463334918135,-0.33097385421082337
256,총지수,2017-04-01,92.0,0.017544309650909362,-0.1898527296975699
257,총지수,2017-05-01,95.3,0.0031529190596160106,-0.41720794792371185
258,총지수,2017-06-01,92.3,0.007612869828721891,-0.3467496364801066
259,총지수,2017-07-01,92.9,0.02727937842166206,-0.036058093190378226
260,총지수,2017-08-01,89.7,0.004469281182296392,-0.3964120563961976
261,총지수,2017-09-01,97.0,0.06936112779750214,0.6287494701920082
262,총지수,2017-11-01,101.8,0.05243136289794936,0.36129300941164766
263,총지수,2017-12-01,100.0,0.015113637810048708,-0.22825248844981622
264,총지수,2018-01-01,93.2,0.01840874941006998,-0.1761963086004858
265,총지수,2018-01-01,100.6,0.05097943760828283,0.33835549069265064
266,총지수,2018-02-01,90.1,0.06653829960648228,0.5841544246115971
267,총지수,2018-03-01,100.3,0.07234558711459194,0.6758979646352414
268,총지수,2018-04-01,97.3,0.056010412142918575,0.41783483676114463
269,총지수,2018-05-01,99.9,0.04713987499435124,0.2776980726032913
270,총지수,2018-06-01,96.3,0.04242417729527315,0.20319947063281543
271,총지수,2018-07-01,98.1,0.05446372075152439,0.3934002029717134
272,총지수,2018-08-01,94.7,0.05424323112728224,0.38991690743344193
273,총지수,2018-09-01,97.4,0.00411523214510634,-0.4020053238155253
274,총지수,2018-11-01,102.9,0.010747538723581584,-0.29722813081763844
275,총지수,2018-12-01,103.1,0.030529205034822482,0.015282674343178796
276,총지수,2019-01-01,97.2,0.0420229897748472,0.19686150935816077
277,총지수,2019-01-01,102.4,0.01773445493976844,-0.1868488140322288
278,총지수,2019-02-01,88.4,-0.019048194970693544,-0.7679411931375693
279,총지수,2019-03-01,102.7,0.02364642196662281,-0.09345154675568026
280,총지수,2019-04-01,98.6,0.013272272416630315,-0.25734238273063575
281,총지수,2019-05-01,103.2,0.03249916739295422,0.04640414373761593
282,총지수,2019-06-01,97.4,0.011357891844409274,-0.28758577095668525
283,총지수,2019-07-01,97.8,-0.0030627895305457287,-0.515403725043491
284,총지수,2019-08-01,98.7,0.04137094624740367,0.18656052436755446
285,총지수,2019-09-01,100.3,0.02933948431940081,-0.003512535971417152
286,총지수,2019-11-01,106.6,0.035325868891740164,0.09106037984209961
287,총지수,2019-12-01,107.7,0.04365019313942842,0.22256807146595972
288,총지수,2020-01-01,100.2,0.030397477184370914,0.013201637490215067
289,총지수,2020-01-01,101.6,-0.007843177461025697,-0.5909243034229993
290,총지수,2020-02-01,87.6,-0.009090971701252393,-0.6106369594021716
291,총지수,2020-03-01,94.7,-0.08109811674248046,-1.7482059851914011
292,총지수,2020-04-01,96.1,-0.025681945632342718,-0.8727411997644144
293,총지수,2020-05-01,104.3,0.010602508959264512,-0.2995193113332686
294,총지수,2020-06-01,102.4,0.050060501956918024,0.3238381433781927
